101,956834
103,6967221
104,17532439
105,3932754
106,29217361
107,12255022
108,19320486
109,41213992
110,16060697
112,247988
115,80276044
118,3015381
127,5785245
203,9171660
206,6175430
209,52990860
211,6288401
212,43490517
701,24301755
704,75841381
706,342164
708,64210750
712,115202287
715,14408057
901,559736205
2301,533360410
2302,138750369
2303,264645727
2304,676914805
2305,583725539
2307,55213923
2309,115017835
2310,94256886
2402,1186748989
2403,57434263
2404,41738913
2406,35086934
2408,33473398
2410,71870
2502,75204404
2503,538455020
2504,1184198982
2505,92152523
2506,471000461
2507,238071229
2582,3490351
2601,166003960
2602,35677883
2603,28736223
2604,414830531
2606,2391241
2608,270648041
3004,295794708
3007,3248082
3009,71277245
3010,1690849
3011,553797
3012,3860754
3013,812476
3014,180433
3015,3574372
3016,4172553
3017,60656841
3019,20632847
3020,4157924
3023,48286781
3025,2498249
3102,194709
3103,8608294
3104,4407101
3106,1466752
3301,3062602
3302,12171810
3306,613511
3308,9661580
3309,452853
3310,26886374
3312,160092
3316,10487673
3317,332980
3318,10749731
3319,517247
3321,68987
3322,1821942
3323,835439
3325,150005
3401,35328148
3402,1919393
3403,15900312
3404,3698849
3405,1614839
3406,1872206
3407,3260993
3408,286836
3409,453205
3410,213484
3413,836811
3414,1480580
3415,836863
3416,1006100
3417,1059316
3419,1093656
3420,2388093
3421,991271
3422,6279402
3423,10152940
3424,13991091
3425,437765
3426,3252674
3430,2307764
3604,46731138
3613,20334220
3801,497457335
3802,194147988
3803,83683891
3814,121107
4105,607
